FECHA LANCE;LATITUD;LONGITUD;No LANCE;TIPO LANCE;TALLA;
25/03/2005;15;95;44;LANATUN;69;
25/03/2005;15;95;44;LANATUN;73;
25/03/2005;15;95;44;LANATUN;103;
25/03/2005;15;95;44;LANATUN;68;
25/03/2005;15;95;44;LANATUN;80;
25/03/2005;15;95;44;LANATUN;67;
25/03/2005;15;95;44;LANATUN;73;
25/03/2005;15;95;44;LANATUN;88;
25/03/2005;15;95;44;LANATUN;75;
25/03/2005;15;95;44;LANATUN;74;
25/03/2005;15;95;44;LANATUN;79;
25/03/2005;15;95;44;LANATUN;96;
25/03/2005;15;95;44;LANATUN;66;
25/03/2005;15;95;44;LANATUN;83;
25/03/2005;15;95;44;LANATUN;82;
25/03/2005;15;95;44;LANATUN;58;
27/03/2005;15;96;48;LANATUN;74;
27/03/2005;15;96;48;LANATUN;92;
27/03/2005;15;96;48;LANATUN;82;
27/03/2005;15;96;48;LANATUN;73;
27/03/2005;15;96;48;LANATUN;64;
27/03/2005;15;96;48;LANATUN;94;
27/03/2005;15;96;48;LANATUN;75;
27/03/2005;15;96;48;LANATUN;97;
27/03/2005;15;96;48;LANATUN;89;
27/03/2005;15;96;48;LANATUN;96;
27/03/2005;15;96;48;LANATUN;76;
27/03/2005;15;96;48;LANATUN;82;
27/03/2005;15;96;48;LANATUN;78;
27/03/2005;15;96;48;LANATUN;88;
27/03/2005;15;96;48;LANATUN;97;
27/03/2005;15;96;48;LANATUN;87;
27/03/2005;15;96;48;LANATUN;78;
27/03/2005;15;96;48;LANATUN;81;
27/03/2005;15;96;48;LANATUN;77;
27/03/2005;15;96;48;LANATUN;74;
27/03/2005;15;96;48;LANATUN;102;
27/03/2005;15;96;48;LANATUN;98;
27/03/2005;15;96;48;LANATUN;78;
27/03/2005;15;96;48;LANATUN;72;
27/03/2005;15;96;48;LANATUN;84;
27/03/2005;15;96;48;LANATUN;80;
27/03/2005;15;96;48;LANATUN;56;
27/03/2005;15;96;48;LANATUN;73;
27/03/2005;15;96;48;LANATUN;75;
27/03/2005;15;96;48;LANATUN;64;
27/03/2005;15;96;48;LANATUN;78;
27/03/2005;15;96;48;LANATUN;89;
27/03/2005;15;96;48;LANATUN;85;
27/03/2005;15;96;48;LANATUN;99;
27/03/2005;15;96;48;LANATUN;70;
27/03/2005;15;96;48;LANATUN;68;
27/03/2005;15;96;48;LANATUN;72;
27/03/2005;15;96;48;LANATUN;98;
27/03/2005;15;96;48;LANATUN;79;
27/03/2005;15;96;48;LANATUN;69;
27/03/2005;15;96;48;LANATUN;77;
27/03/2005;15;96;48;LANATUN;68;
27/03/2005;15;96;48;LANATUN;78;
