FECHA;LATITUD;LONGITUD;TIPO;TALLA
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;83
25/03/2010;13;95;LANATUN;69
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;85
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;71
25/03/2010;13;95;LANATUN;69
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;72
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;81
25/03/2010;13;95;LANATUN;78
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;71
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;81
25/03/2010;13;95;LANATUN;83
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;74
25/03/2010;13;95;LANATUN;71
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;69
25/03/2010;13;95;LANATUN;65
25/03/2010;13;95;LANATUN;83
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;75
25/03/2010;13;95;LANATUN;71
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;79
25/03/2010;13;95;LANATUN;78
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;81
25/03/2010;13;95;LANATUN;77
25/03/2010;13;95;LANATUN;71
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;70
25/03/2010;13;95;LANATUN;73
25/03/2010;13;95;LANATUN;80
25/03/2010;13;95;LANATUN;69
25/03/2010;13;95;LANATUN;65
25/03/2010;13;95;LANATUN;73
16/02/2010;21;106;LANATUN;69
16/02/2010;21;106;LANATUN;71
16/02/2010;21;106;LANATUN;80
16/02/2010;21;106;LANATUN;95
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;73
16/02/2010;21;106;LANATUN;78
16/02/2010;21;106;LANATUN;80
16/02/2010;21;106;LANATUN;80
16/02/2010;21;106;LANATUN;90
16/02/2010;21;106;LANATUN;91
16/02/2010;21;106;LANATUN;72
16/02/2010;21;106;LANATUN;68
16/02/2010;21;106;LANATUN;68
16/02/2010;21;106;LANATUN;83
16/02/2010;21;106;LANATUN;83
16/02/2010;21;106;LANATUN;93
16/02/2010;21;106;LANATUN;93
16/02/2010;21;106;LANATUN;95
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;90
16/02/2010;21;106;LANATUN;93
16/02/2010;21;106;LANATUN;87
16/02/2010;21;106;LANATUN;69
16/02/2010;21;106;LANATUN;69
16/02/2010;21;106;LANATUN;93
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;83
16/02/2010;21;106;LANATUN;81
16/02/2010;21;106;LANATUN;81
16/02/2010;21;106;LANATUN;90
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;75
16/02/2010;21;106;LANATUN;71
16/02/2010;21;106;LANATUN;71
16/02/2010;21;106;LANATUN;71
16/02/2010;21;106;LANATUN;95
16/02/2010;21;106;LANATUN;95
16/02/2010;21;106;LANATUN;68
16/02/2010;21;106;LANATUN;68
16/02/2010;21;106;LANATUN;73
16/02/2010;21;106;LANATUN;73
16/02/2010;21;106;LANATUN;73
16/02/2010;21;106;LANATUN;82
16/02/2010;21;106;LANATUN;68
27/03/2010;14;95;LANATUN;78
27/03/2010;14;95;LANATUN;96
27/03/2010;14;95;LANATUN;83
27/03/2010;14;95;LANATUN;92
27/03/2010;14;95;LANATUN;134
27/03/2010;14;95;LANATUN;90
27/03/2010;14;95;LANATUN;81
27/03/2010;14;95;LANATUN;50
27/03/2010;14;95;LANATUN;132
27/03/2010;14;95;LANATUN;76
27/03/2010;14;95;LANATUN;84
27/03/2010;14;95;LANATUN;93
27/03/2010;14;95;LANATUN;66
27/03/2010;14;95;LANATUN;72
27/03/2010;14;95;LANATUN;80
27/03/2010;14;95;LANATUN;135
27/03/2010;14;95;LANATUN;93
27/03/2010;14;95;LANATUN;74
