FECHA DMA;LATITUD;LONGITUD;TIPO LANCE;TALLA
01/01/2006;23;108;LANATUN;115
01/01/2006;23;108;LANATUN;109
01/01/2006;23;108;LANATUN;117
01/01/2006;23;108;LANATUN;95
01/01/2006;23;108;LANATUN;89
01/01/2006;23;108;LANATUN;92
01/01/2006;23;108;LANATUN;112
01/01/2006;23;108;LANATUN;95
01/01/2006;23;108;LANATUN;89
01/01/2006;23;108;LANATUN;79
01/01/2006;23;108;LANATUN;86
01/01/2006;23;108;LANATUN;75
01/01/2006;23;108;LANATUN;91
01/01/2006;23;108;LANATUN;103
01/01/2006;23;108;LANATUN;117
01/01/2006;23;108;LANATUN;106
01/01/2006;23;108;LANATUN;99
01/01/2006;23;108;LANATUN;104
01/01/2006;23;108;LANATUN;96
01/01/2006;23;108;LANATUN;109
01/01/2006;23;108;LANATUN;75
01/01/2006;23;108;LANATUN;88
01/01/2006;23;108;LANATUN;90
01/01/2006;23;108;LANATUN;100
01/01/2006;23;108;LANATUN;103
01/01/2006;23;108;LANATUN;97
12/02/2006;22;107;LANATUN;128
12/02/2006;22;107;LANATUN;116
12/02/2006;22;107;LANATUN;107
12/02/2006;22;107;LANATUN;96
12/02/2006;22;107;LANATUN;120
12/02/2006;22;107;LANATUN;105
12/02/2006;22;107;LANATUN;90
12/02/2006;22;107;LANATUN;76
12/02/2006;22;107;LANATUN;130
12/02/2006;22;107;LANATUN;89
12/02/2006;22;107;LANATUN;66
12/02/2006;22;107;LANATUN;139
12/02/2006;22;107;LANATUN;136
12/02/2006;22;107;LANATUN;128
12/02/2006;22;107;LANATUN;96
12/02/2006;22;107;LANATUN;137
12/02/2006;22;107;LANATUN;121
12/02/2006;22;107;LANATUN;740
22/02/2006;23;111;LANATUN;86
22/02/2006;23;111;LANATUN;91
22/02/2006;23;111;LANATUN;64
22/02/2006;23;111;LANATUN;51
22/02/2006;23;111;LANATUN;68
22/02/2006;23;111;LANATUN;93
22/02/2006;23;111;LANATUN;88
22/02/2006;23;111;LANATUN;60
22/02/2006;23;111;LANATUN;49
22/02/2006;23;111;LANATUN;55
22/02/2006;23;111;LANATUN;77
22/02/2006;23;111;LANATUN;80
22/02/2006;23;111;LANATUN;96
22/02/2006;23;111;LANATUN;59
22/02/2006;23;111;LANATUN;86
22/02/2006;23;111;LANATUN;112
22/02/2006;23;111;LANATUN;51
23/02/2006;23;111;LANATUN;93
23/02/2006;23;111;LANATUN;89
23/02/2006;23;111;LANATUN;76
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;84
23/02/2006;23;111;LANATUN;101
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;72
23/02/2006;23;111;LANATUN;84
23/02/2006;23;111;LANATUN;93
23/02/2006;23;111;LANATUN;77
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;74
23/02/2006;23;111;LANATUN;92
23/02/2006;23;111;LANATUN;84
23/02/2006;23;111;LANATUN;96
23/02/2006;23;111;LANATUN;70
23/02/2006;23;111;LANATUN;94
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;88
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;63
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;83
23/02/2006;23;111;LANATUN;98
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;68
23/02/2006;23;111;LANATUN;92
23/02/2006;23;111;LANATUN;61
23/02/2006;23;111;LANATUN;64
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;60
23/02/2006;23;111;LANATUN;58
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;70
23/02/2006;23;111;LANATUN;74
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;64
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;49
23/02/2006;23;111;LANATUN;50
23/02/2006;23;111;LANATUN;63
23/02/2006;23;111;LANATUN;61
23/02/2006;23;111;LANATUN;64
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;57
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;64
23/02/2006;23;111;LANATUN;58
23/02/2006;23;111;LANATUN;60
23/02/2006;23;111;LANATUN;63
23/02/2006;23;111;LANATUN;66
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;61
23/02/2006;23;111;LANATUN;58
23/02/2006;23;111;LANATUN;66
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;58
23/02/2006;23;111;LANATUN;61
23/02/2006;23;111;LANATUN;77
23/02/2006;23;111;LANATUN;52
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;50
23/02/2006;23;111;LANATUN;64
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;83
23/02/2006;23;111;LANATUN;60
23/02/2006;23;111;LANATUN;57
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;58
23/02/2006;23;111;LANATUN;70
23/02/2006;23;111;LANATUN;68
23/02/2006;23;111;LANATUN;56
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;83
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;76
23/02/2006;23;111;LANATUN;80
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;78
23/02/2006;23;111;LANATUN;82
23/02/2006;23;111;LANATUN;75
23/02/2006;23;111;LANATUN;83
23/02/2006;23;111;LANATUN;86
23/02/2006;23;111;LANATUN;66
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;70
23/02/2006;23;111;LANATUN;68
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;63
23/02/2006;23;111;LANATUN;70
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;80
23/02/2006;23;111;LANATUN;59
23/02/2006;23;111;LANATUN;60
23/02/2006;23;111;LANATUN;82
23/02/2006;23;111;LANATUN;68
23/02/2006;23;111;LANATUN;80
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;66
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;89
23/02/2006;23;111;LANATUN;64
23/02/2006;23;111;LANATUN;58
23/02/2006;23;111;LANATUN;60
23/02/2006;23;111;LANATUN;83
23/02/2006;23;111;LANATUN;66
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;80
23/02/2006;23;111;LANATUN;77
23/02/2006;23;111;LANATUN;69
23/02/2006;23;111;LANATUN;60
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;83
23/02/2006;23;111;LANATUN;88
23/02/2006;23;111;LANATUN;81
19/01/2006;15;95;LANATUN;45
19/01/2006;15;95;LANATUN;52
19/01/2006;15;95;LANATUN;50
19/01/2006;15;95;LANATUN;48
19/01/2006;15;95;LANATUN;42
19/01/2006;15;95;LANATUN;49
19/01/2006;15;95;LANATUN;53
19/01/2006;15;95;LANATUN;50
19/01/2006;15;95;LANATUN;47
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;43
19/01/2006;15;95;LANATUN;52
19/01/2006;15;95;LANATUN;58
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;49
19/01/2006;15;95;LANATUN;46
19/01/2006;15;95;LANATUN;42
19/01/2006;15;95;LANATUN;48
19/01/2006;15;95;LANATUN;50
19/01/2006;15;95;LANATUN;49
19/01/2006;15;95;LANATUN;53
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;61
19/01/2006;15;95;LANATUN;50
19/01/2006;15;95;LANATUN;60
19/01/2006;15;95;LANATUN;48
19/01/2006;15;95;LANATUN;63
19/01/2006;15;95;LANATUN;59
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;51
19/01/2006;15;95;LANATUN;45
19/01/2006;15;95;LANATUN;53
19/01/2006;15;95;LANATUN;61
19/01/2006;15;95;LANATUN;56
19/01/2006;15;95;LANATUN;58
19/01/2006;15;95;LANATUN;57
19/01/2006;15;95;LANATUN;60
19/01/2006;15;95;LANATUN;43
19/01/2006;15;95;LANATUN;47
19/01/2006;15;95;LANATUN;50
19/01/2006;15;95;LANATUN;46
19/01/2006;15;95;LANATUN;52
19/01/2006;15;95;LANATUN;49
19/01/2006;15;95;LANATUN;61
19/01/2006;15;95;LANATUN;65
19/01/2006;15;95;LANATUN;42
19/01/2006;15;95;LANATUN;58
19/01/2006;15;95;LANATUN;63
19/01/2006;15;95;LANATUN;59
19/01/2006;15;95;LANATUN;65
19/01/2006;15;95;LANATUN;62
19/01/2006;15;95;LANATUN;47
19/01/2006;15;95;LANATUN;49
19/01/2006;15;95;LANATUN;64
19/01/2006;15;95;LANATUN;57
19/01/2006;15;95;LANATUN;53
19/01/2006;15;95;LANATUN;58
19/01/2006;15;95;LANATUN;60
19/01/2006;15;95;LANATUN;72
19/01/2006;15;95;LANATUN;63
19/01/2006;15;95;LANATUN;49
19/01/2006;15;95;LANATUN;52
19/01/2006;15;95;LANATUN;50
19/01/2006;15;95;LANATUN;57
19/01/2006;15;95;LANATUN;58
19/01/2006;15;95;LANATUN;63
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;65
19/01/2006;15;95;LANATUN;54
19/01/2006;15;95;LANATUN;59
19/01/2006;15;95;LANATUN;48
19/01/2006;15;95;LANATUN;73
19/01/2006;15;95;LANATUN;70
19/01/2006;15;95;LANATUN;47
19/01/2006;15;95;LANATUN;58
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;68
19/01/2006;15;95;LANATUN;62
19/01/2006;15;95;LANATUN;55
19/01/2006;15;95;LANATUN;53
19/01/2006;15;96;LANATUN;78
19/01/2006;15;96;LANATUN;83
19/01/2006;15;96;LANATUN;57
19/01/2006;15;96;LANATUN;90
19/01/2006;15;96;LANATUN;87
19/01/2006;15;96;LANATUN;51
19/01/2006;15;96;LANATUN;73
19/01/2006;15;96;LANATUN;60
19/01/2006;15;96;LANATUN;60
19/01/2006;15;96;LANATUN;69
19/01/2006;15;96;LANATUN;74
19/01/2006;15;96;LANATUN;75
19/01/2006;15;96;LANATUN;74
19/01/2006;15;96;LANATUN;73
19/01/2006;15;96;LANATUN;79
19/01/2006;15;96;LANATUN;81
19/01/2006;15;96;LANATUN;74
19/01/2006;15;96;LANATUN;79
19/01/2006;15;96;LANATUN;87
19/01/2006;15;96;LANATUN;80
19/01/2006;15;96;LANATUN;97
19/01/2006;15;96;LANATUN;87
19/01/2006;15;96;LANATUN;93
19/01/2006;15;96;LANATUN;91
19/01/2006;15;96;LANATUN;77
19/01/2006;15;96;LANATUN;79
19/01/2006;15;96;LANATUN;74
19/01/2006;15;96;LANATUN;87
19/01/2006;15;96;LANATUN;89
19/01/2006;15;96;LANATUN;84
19/01/2006;15;96;LANATUN;77
19/01/2006;15;96;LANATUN;97
19/01/2006;15;96;LANATUN;88
19/01/2006;15;96;LANATUN;84
19/01/2006;15;96;LANATUN;83
19/01/2006;15;96;LANATUN;91
19/01/2006;15;96;LANATUN;90
19/01/2006;15;96;LANATUN;90
19/01/2006;15;96;LANATUN;90
19/01/2006;15;96;LANATUN;72
20/01/2006;15;96;LANATUN;51
20/01/2006;15;96;LANATUN;89
20/01/2006;15;96;LANATUN;77
20/01/2006;15;96;LANATUN;81
20/01/2006;15;96;LANATUN;67
20/01/2006;15;96;LANATUN;73
20/01/2006;15;96;LANATUN;79
20/01/2006;15;96;LANATUN;79
20/01/2006;15;96;LANATUN;84
20/01/2006;15;96;LANATUN;97
20/01/2006;15;96;LANATUN;99
20/01/2006;15;96;LANATUN;94
20/01/2006;15;96;LANATUN;94
20/01/2006;15;96;LANATUN;75
20/01/2006;15;96;LANATUN;79
20/01/2006;15;96;LANATUN;87
20/01/2006;15;96;LANATUN;84
20/01/2006;15;96;LANATUN;67
20/01/2006;15;96;LANATUN;69
20/01/2006;15;96;LANATUN;54
20/01/2006;15;96;LANATUN;47
20/01/2006;15;96;LANATUN;49
20/01/2006;15;96;LANATUN;49
20/01/2006;15;96;LANATUN;44
20/01/2006;15;96;LANATUN;47
20/01/2006;15;96;LANATUN;47
20/01/2006;15;96;LANATUN;37
20/01/2006;15;96;LANATUN;93
20/01/2006;15;96;LANATUN;84
20/01/2006;15;96;LANATUN;64
20/01/2006;15;96;LANATUN;66
20/01/2006;15;96;LANATUN;66
20/01/2006;15;96;LANATUN;66
20/01/2006;15;96;LANATUN;54
20/01/2006;15;96;LANATUN;53
20/01/2006;15;96;LANATUN;53
20/01/2006;15;96;LANATUN;51
20/01/2006;15;96;LANATUN;50
20/01/2006;15;96;LANATUN;50
20/01/2006;15;96;LANATUN;50
20/01/2006;15;95;LANATUN;49
20/01/2006;15;95;LANATUN;54
20/01/2006;15;95;LANATUN;45
20/01/2006;15;95;LANATUN;79
20/01/2006;15;95;LANATUN;49
20/01/2006;15;95;LANATUN;57
20/01/2006;15;95;LANATUN;54
20/01/2006;15;95;LANATUN;55
20/01/2006;15;95;LANATUN;55
20/01/2006;15;95;LANATUN;73
20/01/2006;15;95;LANATUN;69
20/01/2006;15;95;LANATUN;67
20/01/2006;15;95;LANATUN;51
20/01/2006;15;95;LANATUN;69
20/01/2006;15;95;LANATUN;73
20/01/2006;15;95;LANATUN;79
20/01/2006;15;95;LANATUN;57
20/01/2006;15;95;LANATUN;67
20/01/2006;15;95;LANATUN;68
20/01/2006;15;95;LANATUN;68
20/01/2006;15;95;LANATUN;59
20/01/2006;15;95;LANATUN;73
20/01/2006;15;95;LANATUN;77
20/01/2006;15;95;LANATUN;61
20/01/2006;15;95;LANATUN;60
20/01/2006;15;95;LANATUN;61
20/01/2006;15;95;LANATUN;61
20/01/2006;15;95;LANATUN;61
20/01/2006;15;95;LANATUN;47
20/01/2006;15;95;LANATUN;49
20/01/2006;15;95;LANATUN;49
20/01/2006;15;95;LANATUN;49
20/01/2006;15;95;LANATUN;47
20/01/2006;15;95;LANATUN;48
20/01/2006;15;95;LANATUN;45
20/01/2006;15;95;LANATUN;44
20/01/2006;15;95;LANATUN;47
20/01/2006;15;95;LANATUN;57
20/01/2006;15;95;LANATUN;91
20/01/2006;15;95;LANATUN;56
20/01/2006;15;95;LANATUN;62
23/02/2006;23;111;LANATUN;89
23/02/2006;23;111;LANATUN;74
23/02/2006;23;111;LANATUN;97
23/02/2006;23;111;LANATUN;94
23/02/2006;23;111;LANATUN;93
23/02/2006;23;111;LANATUN;99
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;97
23/02/2006;23;111;LANATUN;97
23/02/2006;23;111;LANATUN;97
23/02/2006;23;111;LANATUN;50
23/02/2006;23;111;LANATUN;112
23/02/2006;23;111;LANATUN;87
23/02/2006;23;111;LANATUN;87
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;61
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;112
23/02/2006;23;111;LANATUN;117
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;93
23/02/2006;23;111;LANATUN;94
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;77
23/02/2006;23;111;LANATUN;74
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;104
23/02/2006;23;111;LANATUN;92
23/02/2006;23;111;LANATUN;87
23/02/2006;23;111;LANATUN;88
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;79
23/01/1900;23;111;LANATUN;87
23/01/1900;23;111;LANATUN;84
23/01/1900;23;111;LANATUN;93
23/01/1900;23;111;LANATUN;72
23/01/1900;23;111;LANATUN;70
23/01/1900;23;111;LANATUN;77
23/01/1900;23;111;LANATUN;74
23/01/1900;23;111;LANATUN;73
23/01/1900;23;111;LANATUN;72
23/01/1900;23;111;LANATUN;88
23/01/1900;23;111;LANATUN;112
23/01/1900;23;111;LANATUN;97
23/01/1900;23;111;LANATUN;79
23/01/1900;23;111;LANATUN;79
23/01/1900;23;111;LANATUN;79
23/01/1900;23;111;LANATUN;82
23/01/1900;23;111;LANATUN;87
23/01/1900;23;111;LANATUN;89
23/01/1900;23;111;LANATUN;74
23/01/1900;23;111;LANATUN;93
23/01/1900;23;111;LANATUN;87
23/01/1900;23;111;LANATUN;74
23/01/1900;23;111;LANATUN;72
23/01/1900;23;111;LANATUN;89
23/01/1900;23;111;LANATUN;98
23/01/1900;23;111;LANATUN;90
23/01/1900;23;111;LANATUN;75
23/01/1900;23;111;LANATUN;102
23/01/1900;23;111;LANATUN;79
23/01/1900;23;111;LANATUN;81
23/01/1900;23;111;LANATUN;88
23/01/1900;23;111;LANATUN;94
23/01/1900;23;111;LANATUN;72
23/01/1900;23;111;LANATUN;70
23/01/1900;23;111;LANATUN;73
23/01/1900;23;111;LANATUN;79
23/01/1900;23;111;LANATUN;77
23/01/1900;23;111;LANATUN;77
23/01/1900;23;111;LANATUN;77
23/01/1900;23;111;LANATUN;77
23/02/2006;23;111;LANATUN;63
23/02/2006;23;111;LANATUN;82
23/02/2006;23;111;LANATUN;82
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;97
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;87
23/02/2006;23;111;LANATUN;94
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;70
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;77
23/02/2006;23;111;LANATUN;87
23/02/2006;23;111;LANATUN;113
23/02/2006;23;111;LANATUN;79
23/02/2006;23;111;LANATUN;84
23/02/2006;23;111;LANATUN;85
23/02/2006;23;111;LANATUN;89
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;72
23/02/2006;23;111;LANATUN;84
23/02/2006;23;111;LANATUN;93
23/02/2006;23;111;LANATUN;81
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;87
23/02/2006;23;111;LANATUN;84
23/02/2006;23;111;LANATUN;73
23/02/2006;23;111;LANATUN;62
23/02/2006;23;111;LANATUN;72
23/02/2006;23;111;LANATUN;71
23/02/2006;23;111;LANATUN;91
23/02/2006;23;111;LANATUN;90
23/02/2006;23;111;LANATUN;112
23/02/2006;23;111;LANATUN;72
19/01/2006;15;96;LANATUN;49
19/01/2006;15;96;LANATUN;53
19/01/2006;15;96;LANATUN;52
19/01/2006;15;96;LANATUN;55
19/01/2006;15;96;LANATUN;55
19/01/2006;15;96;LANATUN;48
19/01/2006;15;96;LANATUN;63
19/01/2006;15;96;LANATUN;65
19/01/2006;15;96;LANATUN;54
19/01/2006;15;96;LANATUN;54
19/01/2006;15;96;LANATUN;62
19/01/2006;15;96;LANATUN;63
19/01/2006;15;96;LANATUN;56
19/01/2006;15;96;LANATUN;64
19/01/2006;15;96;LANATUN;47
19/01/2006;15;96;LANATUN;62
19/01/2006;15;96;LANATUN;55
19/01/2006;15;96;LANATUN;48
19/01/2006;15;96;LANATUN;42
19/01/2006;15;96;LANATUN;65
19/01/2006;15;96;LANATUN;50
19/01/2006;15;96;LANATUN;36
19/01/2006;15;96;LANATUN;77
19/01/2006;15;96;LANATUN;53
19/01/2006;15;96;LANATUN;62
19/01/2006;15;96;LANATUN;58
19/01/2006;15;96;LANATUN;59
19/01/2006;15;96;LANATUN;62
19/01/2006;15;96;LANATUN;62
19/01/2006;15;96;LANATUN;60
19/01/2006;15;96;LANATUN;57
19/01/2006;15;96;LANATUN;59
19/01/2006;15;96;LANATUN;59
19/01/2006;15;96;LANATUN;58
