FECHA;LATITUD;LONGITUD;TIPO;TALLA
22/01/2012;7;99;LANMAM;128
22/01/2012;7;99;LANMAM;128
22/01/2012;7;99;LANMAM;135
22/01/2012;7;99;LANMAM;141
22/01/2012;7;99;LANMAM;100
22/01/2012;7;99;LANMAM;127
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;132
22/01/2012;7;99;LANMAM;128
22/01/2012;7;99;LANMAM;133
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;129
22/01/2012;7;99;LANMAM;117
22/01/2012;7;99;LANMAM;124
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;128
22/01/2012;7;99;LANMAM;135
22/01/2012;7;99;LANMAM;140
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;127
22/01/2012;7;99;LANMAM;131
22/01/2012;7;99;LANMAM;129
22/01/2012;7;99;LANMAM;105
22/01/2012;7;99;LANMAM;98
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;129
22/01/2012;7;99;LANMAM;137
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;135
22/01/2012;7;99;LANMAM;120
22/01/2012;7;99;LANMAM;127
22/01/2012;7;99;LANMAM;122
22/01/2012;7;99;LANMAM;133
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;127
22/01/2012;7;99;LANMAM;100
22/01/2012;7;99;LANMAM;129
22/01/2012;7;99;LANMAM;120
22/01/2012;7;99;LANMAM;129
22/01/2012;7;99;LANMAM;132
22/01/2012;7;99;LANMAM;127
22/01/2012;7;99;LANMAM;140
22/01/2012;7;99;LANMAM;143
22/01/2012;7;99;LANMAM;139
22/01/2012;7;99;LANMAM;135
22/01/2012;7;99;LANMAM;130
22/01/2012;7;99;LANMAM;125
22/01/2012;7;99;LANMAM;100
22/01/2012;7;99;LANMAM;120
29/01/2012;13;106;LANMAM;67
29/01/2012;13;106;LANMAM;58
29/01/2012;13;106;LANMAM;49
29/01/2012;13;106;LANMAM;52
29/01/2012;13;106;LANMAM;75
29/01/2012;13;106;LANMAM;69
29/01/2012;13;106;LANMAM;72
29/01/2012;13;106;LANMAM;70
29/01/2012;13;106;LANMAM;71
29/01/2012;13;106;LANMAM;68
29/01/2012;13;106;LANMAM;130
29/01/2012;13;106;LANMAM;69
29/01/2012;13;106;LANMAM;72
29/01/2012;13;106;LANMAM;70
29/01/2012;13;106;LANMAM;77
29/01/2012;13;106;LANMAM;77
