datenum;oni;soi;Fecha;Dia;Mes;Ano
729648;2;-2.4;15/09/1997;15;9;1997
729678;2.2;-2.4;15/10/1997;15;10;1997
729709;2.3;-2;15/11/1997;15;11;1997
729739;2.3;-1.6;15/12/1997;15;12;1997
729770;2.1;-4.4;15/01/1998;15;1;1998
729801;1.8;-3.4;15/02/1998;15;2;1998
729829;1.4;-4;15/03/1998;15;3;1998
729860;1;-2.4;15/04/1998;15;4;1998
729890;0.5;0.4;15/05/1998;15;5;1998
729921;-0.1;1.6;15/06/1998;15;6;1998
729951;-0.7;2;15/07/1998;15;7;1998
729982;-1;1.9;15/08/1998;15;8;1998
730013;-1.2;1.7;15/09/1998;15;9;1998
730043;-1.2;1.8;15/10/1998;15;10;1998
730074;-1.3;1.7;15/11/1998;15;11;1998
730104;-1.4;2.3;15/12/1998;15;12;1998
730135;-1.4;3;15/01/1999;15;1;1999
730166;-1.2;1.6;15/02/1999;15;2;1999
730194;-1;2.1;15/03/1999;15;3;1999
730225;-0.9;2.3;15/04/1999;15;4;1999
730255;-0.9;0.4;15/05/1999;15;5;1999
730286;-1;0.4;15/06/1999;15;6;1999
730316;-1;0.9;15/07/1999;15;7;1999
730347;-1;0.6;15/08/1999;15;8;1999
730378;-1.1;-0.1;15/09/1999;15;9;1999
730408;-1.2;1.6;15/10/1999;15;10;1999
730439;-1.4;1.7;15/11/1999;15;11;1999
730469;-1.6;2.4;15/12/1999;15;12;1999
730500;-1.6;1.1;15/01/2000;15;1;2000
730531;-1.4;2.7;15/02/2000;15;2;2000
730560;-1.1;2.2;15/03/2000;15;3;2000
730591;-0.9;2;15/04/2000;15;4;2000
730621;-0.7;0.6;15/05/2000;15;5;2000
730652;-0.7;-0.3;15/06/2000;15;6;2000
730682;-0.6;-0.3;15/07/2000;15;7;2000
730713;-0.5;1.2;15/08/2000;15;8;2000
730744;-0.6;1.4;15/09/2000;15;9;2000
730774;-0.7;1.8;15/10/2000;15;10;2000
730805;-0.8;3;15/11/2000;15;11;2000
730835;-0.8;1.3;15/12/2000;15;12;2000
730866;-0.7;1.6;15/01/2001;15;1;2001
730897;-0.6;2.8;15/02/2001;15;2;2001
730925;-0.5;1.5;15/03/2001;15;3;2001
730956;-0.3;0.3;15/04/2001;15;4;2001
730986;-0.2;-0.8;15/05/2001;15;5;2001
731017;-0.1;0.5;15/06/2001;15;6;2001
731047;0;-0.3;15/07/2001;15;7;2001
731078;-0.1;-0.7;15/08/2001;15;8;2001
731109;-0.1;0.3;15/09/2001;15;9;2001
731139;-0.2;-0.1;15/10/2001;15;10;2001
731170;-0.3;1.1;15/11/2001;15;11;2001
731200;-0.3;-1.4;15/12/2001;15;12;2001
731231;-0.2;0.7;15/01/2002;15;1;2002
731262;-0.1;1.8;15/02/2002;15;2;2002
731290;0.1;-0.4;15/03/2002;15;3;2002
731321;0.2;-0.1;15/04/2002;15;4;2002
731351;0.4;-1.4;15/05/2002;15;5;2002
731382;0.7;-0.4;15/06/2002;15;6;2002
731412;0.8;-0.8;15/07/2002;15;7;2002
731443;0.9;-1.6;15/08/2002;15;8;2002
731474;1;-1;15/09/2002;15;9;2002
731504;1.2;-0.6;15/10/2002;15;10;2002
731535;1.3;-0.7;15/11/2002;15;11;2002
731565;1.1;-1.8;15/12/2002;15;12;2002
731596;0.9;-0.3;15/01/2003;15;1;2003
731627;0.6;-1.1;15/02/2003;15;2;2003
731655;0.4;-0.5;15/03/2003;15;3;2003
731686;0;-0.2;15/04/2003;15;4;2003
731716;-0.2;-0.5;15/05/2003;15;5;2003
731747;-0.1;-1;15/06/2003;15;6;2003
731777;0.1;0.5;15/07/2003;15;7;2003
731808;0.2;0.2;15/08/2003;15;8;2003
731839;0.3;-0.2;15/09/2003;15;9;2003
731869;0.4;0;15/10/2003;15;10;2003
731900;0.4;-0.5;15/11/2003;15;11;2003
731930;0.4;1.8;15/12/2003;15;12;2003
731961;0.3;-2.2;15/01/2004;15;1;2004
731992;0.2;2;15/02/2004;15;2;2004
732021;0.1;0.7;15/03/2004;15;3;2004
732052;0.1;-1.5;15/04/2004;15;4;2004
732082;0.2;1.7;15/05/2004;15;5;2004
732113;0.3;-1.4;15/06/2004;15;6;2004
732143;0.5;-0.8;15/07/2004;15;7;2004
732174;0.7;-0.5;15/08/2004;15;8;2004
732205;0.7;-0.6;15/09/2004;15;9;2004
732235;0.7;-0.1;15/10/2004;15;10;2004
732266;0.7;-1.1;15/11/2004;15;11;2004
732296;0.7;-1.3;15/12/2004;15;12;2004
732327;0.6;0.6;15/01/2005;15;1;2005
732358;0.6;-5.2;15/02/2005;15;2;2005
732386;0.5;0.5;15/03/2005;15;3;2005
732417;0.5;-1;15/04/2005;15;4;2005
732447;0.4;-1.3;15/05/2005;15;5;2005
732478;0.2;0.7;15/06/2005;15;6;2005
732508;0.1;0.3;15/07/2005;15;7;2005
732539;0;-0.6;15/08/2005;15;8;2005
732570;0;0.6;15/09/2005;15;9;2005
732600;-0.1;2;15/10/2005;15;10;2005
732631;-0.4;-0.3;15/11/2005;15;11;2005
732661;-0.7;0;15/12/2005;15;12;2005
732692;-0.7;2.7;15/01/2006;15;1;2006
732723;-0.6;0.2;15/02/2006;15;2;2006
732751;-0.4;2.9;15/03/2006;15;3;2006
732782;-0.2;1.8;15/04/2006;15;4;2006
732812;0;-0.8;15/05/2006;15;5;2006
732843;0.1;-0.4;15/06/2006;15;6;2006
732873;0.2;-1;15/07/2006;15;7;2006
732904;0.3;-1.7;15/08/2006;15;8;2006
732935;0.5;-1;15/09/2006;15;9;2006
732965;0.8;-2.1;15/10/2006;15;10;2006
732996;0.9;0.1;15/11/2006;15;11;2006
733026;1;-0.5;15/12/2006;15;12;2006
733057;0.7;-1.3;15/01/2007;15;1;2007
733088;0.3;-0.1;15/02/2007;15;2;2007
733116;0;0.3;15/03/2007;15;3;2007
733147;-0.1;-0.2;15/04/2007;15;4;2007
733177;-0.2;-0.2;15/05/2007;15;5;2007
733208;-0.2;0.9;15/06/2007;15;6;2007
733238;-0.3;-0.5;15/07/2007;15;7;2007
733269;-0.6;0.7;15/08/2007;15;8;2007
733300;-0.8;0.3;15/09/2007;15;9;2007
733330;-1.1;1.2;15/10/2007;15;10;2007
733361;-1.2;1.4;15/11/2007;15;11;2007
733391;-1.3;2.7;15/12/2007;15;12;2007
733422;-1.4;2.9;15/01/2008;15;1;2008
733453;-1.3;4.4;15/02/2008;15;2;2008
733482;-1.1;2.4;15/03/2008;15;3;2008
733513;-0.9;1.1;15/04/2008;15;4;2008
733543;-0.7;-0.1;15/05/2008;15;5;2008
733574;-0.5;1;15/06/2008;15;6;2008
733604;-0.3;0.5;15/07/2008;15;7;2008
733635;-0.2;1.7;15/08/2008;15;8;2008
733666;-0.2;2;15/09/2008;15;9;2008
733696;-0.3;2.1;15/10/2008;15;10;2008
733727;-0.5;2.2;15/11/2008;15;11;2008
733757;-0.7;2.4;15/12/2008;15;12;2008
733788;-0.8;1.8;15/01/2009;15;1;2009
733819;-0.7;3.1;15/02/2009;15;2;2009
733847;-0.4;0.7;15/03/2009;15;3;2009
733878;-0.1;1.3;15/04/2009;15;4;2009
733908;0.2;-0.2;15/05/2009;15;5;2009
733939;0.4;0.2;15/06/2009;15;6;2009
733969;0.5;0.4;15/07/2009;15;7;2009
734000;0.6;-0.3;15/08/2009;15;8;2009
734031;0.7;0.5;15/09/2009;15;9;2009
734061;1;-2;15/10/2009;15;10;2009
734092;1.2;-1;15/11/2009;15;11;2009
734122;1.3;-1.2;15/12/2009;15;12;2009
734153;1.3;-1.8;15/01/2010;15;1;2010
734184;1.1;-2.4;15/02/2010;15;2;2010
734212;0.8;-1.1;15/03/2010;15;3;2010
734243;0.5;2;15/04/2010;15;4;2010
734273;0;1.5;15/05/2010;15;5;2010
734304;-0.4;0.6;15/06/2010;15;6;2010
734334;-0.8;3;15/07/2010;15;7;2010
734365;-1.1;3;15/08/2010;15;8;2010
734396;-1.3;3.7;15/09/2010;15;9;2010
734426;-1.4;2.9;15/10/2010;15;10;2010
734457;-1.3;2.1;15/11/2010;15;11;2010
734487;-1.4;4.8;15/12/2010;15;12;2010
734518;-1.3;3.8;15/01/2011;15;1;2011
734549;-1.1;4.5;15/02/2011;15;2;2011
734577;-0.8;4.2;15/03/2011;15;3;2011
734608;-0.6;3.1;15/04/2011;15;4;2011
734638;-0.3;0.6;15/05/2011;15;5;2011
734669;-0.2;0.4;15/06/2011;15;6;2011
734699;-0.3;1.6;15/07/2011;15;7;2011
734730;-0.5;0.7;15/08/2011;15;8;2011
734761;-0.7;1.7;15/09/2011;15;9;2011
734791;-0.9;1.2;15/10/2011;15;10;2011
734822;-0.9;1.8;15/11/2011;15;11;2011
734852;-0.8;4.1;15/12/2011;15;12;2011
734883;-0.7;1.8;15/01/2012;15;1;2012
734914;-0.6;0.8;15/02/2012;15;2;2012
734943;-0.5;1.2;15/03/2012;15;3;2012
734974;-0.4;-0.4;15/04/2012;15;4;2012
735004;-0.3;0.1;15/05/2012;15;5;2012
735035;-0.1;-0.7;15/06/2012;15;6;2012
735065;0.1;-0.1;15/07/2012;15;7;2012
735096;0.3;-0.3;15/08/2012;15;8;2012
735127;0.4;0.4;15/09/2012;15;9;2012
735157;0.4;0.5;15/10/2012;15;10;2012
735188;0.2;0.4;15/11/2012;15;11;2012
735218;-0.2;-1;15/12/2012;15;12;2012
735249;-0.4;-0.1;15/01/2013;15;1;2013
735280;-0.5;-0.4;15/02/2013;15;2;2013
735308;-0.3;2.5;15/03/2013;15;3;2013
735339;-0.2;0.4;15/04/2013;15;4;2013
735369;-0.2;1.3;15/05/2013;15;5;2013
735400;-0.2;2;15/06/2013;15;6;2013
735430;-0.2;1.3;15/07/2013;15;7;2013
735461;-0.2;0.3;15/08/2013;15;8;2013
735492;-0.2;0.5;15/09/2013;15;9;2013
735522;-0.2;-0.1;15/10/2013;15;10;2013
735553;-0.2;1.2;15/11/2013;15;11;2013
735583;-0.3;0.1;15/12/2013;15;12;2013
735614;-0.5;2.4;15/01/2014;15;1;2014
735645;-0.6;0.1;15/02/2014;15;2;2014
735673;-0.4;-1.5;15/03/2014;15;3;2014
735704;-0.2;1.3;15/04/2014;15;4;2014
735734;0;0.9;15/05/2014;15;5;2014
735765;0;0.3;15/06/2014;15;6;2014
735795;0;-0.3;15/07/2014;15;7;2014
735826;0;-1.2;15/08/2014;15;8;2014
735857;0.2;-1.2;15/09/2014;15;9;2014
735887;0.4;-1;15/10/2014;15;10;2014
735918;0.6;-1.5;15/11/2014;15;11;2014
735948;0.6;-0.9;15/12/2014;15;12;2014
735979;0.5;-1.4;15/01/2015;15;1;2015
736010;0.4;0.4;15/02/2015;15;2;2015
736038;0.5;-1.2;15/03/2015;15;3;2015
736069;0.7;-0.1;15/04/2015;15;4;2015
736099;0.9;-1.2;15/05/2015;15;5;2015
736130;1;-0.9;15/06/2015;15;6;2015
736160;1.2;-1.9;15/07/2015;15;7;2015
736191;1.5;-2.4;15/08/2015;15;8;2015
736222;1.7;-2.7;15/09/2015;15;9;2015
