datenum,soi
687402,-1
687433,-0.3
687461,0.4
687492,0
687522,0.5
687553,-1.2
687583,-2.1
687614,-2.8
687645,-1.7
687675,0
687706,0.1
687736,1
687767,0.8
687798,-1.3
687826,-3.2
687857,1.1
687887,1.1
687918,0.2
687948,-1.2
687979,0
688010,-1
688040,0.3
688071,0.2
688101,-2.2
688132,-1.7
688163,-1
688192,0.9
688223,-1
688253,0.1
688284,0.7
688314,-0.4
688345,-0.7
688376,-0.7
688406,0.3
688437,-0.2
688467,-1.8
688498,-2.2
688529,0
688557,0.6
688588,0
688618,-0.2
688649,-1.2
688679,-0.4
688710,-1.1
688741,-0.4
688771,-2
688802,-1.6
688832,0.6
688863,-0.2
688894,-0.1
688922,0.3
688953,0.2
688983,0.6
689014,0.2
689044,0.7
689075,1.2
689106,1.4
689136,1.3
689167,0.8
689197,1.6
689228,1.6
689259,1.2
689287,1
689318,0.6
689348,-0.4
689379,0.3
689409,0.4
689440,0.3
689471,0.6
689501,0.5
689532,-0.6
689562,0.6
689593,-0.6
689624,-0.3
689653,-1.4
689684,-1.8
689714,-0.8
689745,-1.3
689775,-1.6
689806,-1
689837,-1.1
689867,-1.5
689898,-1.4
689928,-0.4
689959,-3.5
689990,-0.3
690018,-3.4
690049,0
690079,-0.1
690110,1.7
690140,0.1
690171,0
690202,1.1
690232,0.2
690263,1.9
690293,2.5
690324,2.6
690355,1.4
690383,1.5
690414,0.6
690444,0.3
690475,0.4
690505,-0.4
690536,-0.5
690567,0.8
690597,0.3
690628,0
690658,-0.1
690689,2.1
690720,-0.7
690748,-1.3
690779,0.4
690809,0
690840,-0.1
690870,-0.6
690901,-0.8
690932,-1
690962,0
690993,-0.6
691023,-0.7
691054,0.2
691085,-1.5
691114,1.2
691145,0.6
691175,0.9
691206,1.4
691236,0.8
691267,0.4
691298,NaN
691328,NaN
691359,NaN
691389,NaN
691420,NaN
691451,NaN
691479,NaN
691510,NaN
691540,NaN
691571,NaN
691601,NaN
691632,NaN
691663,NaN
691693,NaN
691724,NaN
691754,NaN
691785,NaN
691816,NaN
691844,NaN
691875,NaN
691905,NaN
691936,NaN
691966,NaN
691997,NaN
692028,NaN
692058,NaN
692089,NaN
692119,NaN
692150,NaN
692181,NaN
692209,NaN
692240,NaN
692270,NaN
692301,NaN
692331,NaN
692362,NaN
692393,NaN
692423,NaN
692454,NaN
692484,NaN
692515,0.7
692546,1.1
692575,-0.3
692606,-0.1
692636,-2.6
692667,-2
692697,-1.5
692728,-1.6
692759,-1.5
692789,-1.4
692820,-0.6
692850,-1.3
692881,-1.6
692912,-1.1
692940,-2.1
692971,-1.4
693001,-1.5
693032,-0.2
693062,-0.1
693093,0.1
693124,0
693154,0.1
693185,-0.9
693215,1.1
693246,0.9
693277,0.6
693305,2
693336,0.8
693366,-0.1
693397,-0.3
693427,0.6
693458,0.7
693489,1
693519,0.3
693550,0.1
693580,0.3
693611,1.6
693642,1
693670,1.4
693701,0.2
693731,-0.5
693762,-0.8
693792,-0.6
693823,-1.1
693854,-0.2
