datenum,soi
693884,0.6
693915,1.4
693945,-0.5
693976,-1
694007,-1
694035,-3.2
694066,-1.4
694096,-0.6
694127,1.9
694157,1
694188,0.6
694219,-1.8
694249,-2
694280,-0.7
694310,-0.8
694341,-0.2
694372,0.3
694400,1
694431,0.4
694461,0
694492,1.4
694522,1.4
694553,0.9
694584,-1.7
694614,-2.5
694645,-1
694675,-0.3
694706,2.2
694737,-0.4
694765,1.3
694796,0.6
694826,0.8
694857,0.2
694887,0.1
694918,-1
694949,-1.9
694979,-0.9
695010,-0.5
695040,-0.4
695071,-1.3
695102,-1.6
695130,1.8
695161,1.4
695191,0.8
695222,-0.1
695252,0.4
695283,-0.1
695314,0.9
695344,0.4
695375,0
695405,1.8
695436,1.8
695467,2
695496,1
695527,2.4
695557,0.7
695588,-0.7
695618,-1
695649,-0.1
695680,0.1
695710,-0.1
695741,-1.8
695771,0.1
695802,-1.2
695833,-2.5
695861,-3.6
695892,-3.3
695922,-3
695953,-2.5
695983,-2
696014,-1
696045,-0.7
696075,-0.8
696106,-1.9
696136,-1.9
696167,-0.6
696198,-1.2
696226,NaN
696257,NaN
696287,NaN
696318,-0.4
696348,0.5
696379,1.4
696410,1.9
696440,0.8
696471,1.9
696501,NaN
696532,NaN
696563,NaN
696591,NaN
696622,NaN
696652,NaN
696683,NaN
696713,NaN
696744,NaN
696775,NaN
696805,NaN
696836,NaN
696866,NaN
696897,NaN
696928,NaN
696957,NaN
696988,NaN
697018,NaN
697049,NaN
697079,NaN
697110,NaN
697141,2
697171,0.7
697202,0.1
697232,-0.8
697263,-0.3
697294,-0.4
697322,-0.3
697353,-1.1
697383,0.1
697414,1.6
697444,1
697475,0.8
697506,0
697536,0.2
697567,0.6
697597,0.5
697628,0.6
697659,1.9
697687,1.3
697718,0.3
697748,0.1
697779,1.7
697809,2
697840,0.9
697871,1.5
697901,0.9
697932,1.7
697962,1.9
697993,0.2
698024,0.1
698052,0.3
698083,0
698113,-0.6
698144,-1.1
698174,-1.3
698205,-1.3
698236,-0.9
698266,-1.4
698297,-0.9
698327,-0.4
698358,-1.4
698389,-2.4
698418,-1.2
698449,-1.7
698479,-1
698510,-0.6
698540,-0.2
698571,-1
698602,-0.5
698632,-0.8
698663,0.1
698693,-1.2
698724,-0.5
698755,-0.8
698783,-0.1
698814,-0.6
698844,-0.6
698875,-0.5
698905,-0.2
698936,-1
698967,-1.1
698997,-1.1
699028,-1.2
699058,-1
699089,-0.7
699120,0.2
699148,1
699179,NaN
699209,NaN
699240,NaN
699270,NaN
699301,NaN
699332,NaN
699362,-0.9
699393,NaN
699423,NaN
699454,NaN
699485,NaN
699513,NaN
699544,NaN
699574,NaN
699605,NaN
699635,NaN
699666,NaN
699697,NaN
699727,NaN
699758,-1.6
699788,1
699819,0.6
699850,-0.6
699879,-1
699910,0
699940,0.4
699971,0.6
700001,2.4
700032,1.4
700063,0.4
700093,0.5
700124,0.8
700154,1.6
700185,0.6
700216,1.4
700244,1.9
700275,1.7
700305,1.8
700336,1.6
700366,2.6
700397,3.3
700428,3.2
700458,1.5
700489,1.9
700519,2.6
700550,1.8
700581,2.1
700609,-0.4
700640,1.4
700670,0.9
700701,-0.4
700731,-1.5
700762,-0.6
700793,-0.8
700823,-0.6
700854,-0.1
700884,-1.1
700915,-2.2
700946,-1.6
700974,-1.7
701005,-0.2
701035,-0.7
701066,-0.9
701096,-0.9
701127,-0.9
701158,-0.5
701188,-1.2
701219,-1.2
701249,-1.3
701280,0.1
701311,-0.5
701340,-0.7
701371,-0.1
701401,-0.2
701432,0.3
701462,0.8
701493,0.3
701524,0.6
701554,-0.6
701585,-0.1
701615,1
701646,1.5
701677,0.7
701705,NaN
701736,NaN
701766,NaN
701797,NaN
701827,0.2
701858,-0.8
701889,0.4
701919,1
701950,0.6
701980,0.8
702011,0.9
702042,1
702070,0.5
702101,-0.4
702131,-0.5
702162,0.2
702192,0.1
702223,-0.3
702254,0.5
702284,0.5
702315,0.7
702345,1.2
702376,0.6
702407,0.4
702435,0.9
702466,0.6
702496,0.1
702527,-0.2
702557,-1.2
702588,-2
702619,-1.6
702649,-0.7
702680,-1.4
702710,0.2
702741,-0.7
702772,0
702801,0.2
702832,-1.2
702862,0.9
702893,0.5
702923,0.7
702954,1
702985,0.8
703015,0.7
703046,1
703076,0.4
703107,0.6
703138,1.8
703166,1.5
703197,1
703227,-0.1
703258,-0.5
703288,-1.4
703319,-1.2
703350,-0.6
703380,-1.5
703411,-1.1
703441,-1.2
703472,-1.9
703503,-3.1
703531,-2.7
703562,-1.6
703592,-1.2
703623,-1.7
703653,-1.2
703684,-2
703715,-0.9
703745,-0.8
703776,-1.1
703806,-0.5
703837,0.5
703868,-0.1
703896,2
703927,0.6
703957,0.5
703988,NaN
704018,NaN
704049,NaN
704080,0
704110,-0.6
704141,-0.9
704171,0.8
704202,-1.3
704233,1.3
704262,1.4
704293,1
704323,-0.2
704354,-0.7
704384,0
704415,0.9
704446,1
704476,0.9
704507,0.1
704537,1.4
704568,1.9
704599,2.3
704627,0.5
704658,0.3
704688,-1
704719,0.1
704749,0.3
704780,-0.1
704811,-0.1
704841,0.7
704872,1
704902,0.6
704933,1.5
704964,0.8
704992,0
705023,-0.2
705053,0.1
705084,-0.6
705114,-0.5
705145,-0.4
705176,-0.7
705206,0.4
705237,0.1
705267,-0.4
705298,0.9
705329,-2
705357,0.5
705388,0.7
705418,1.2
705449,1.3
705479,0.9
705510,NaN
705541,NaN
705571,NaN
705602,NaN
705632,NaN
705663,NaN
705694,NaN
705723,NaN
705754,NaN
705784,NaN
705815,NaN
705845,NaN
705876,NaN
705907,-1.1
705937,-0.6
705968,-0.6
705998,0.2
706029,-1.6
706060,0.4
706088,-0.4
706119,0.3
706149,0.5
706180,-0.4
706210,0.2
706241,-0.2
706272,0.3
706302,0.2
706333,0.5
706363,0.9
706394,0.7
706425,0
706453,-0.1
706484,0.4
706514,-0.5
706545,0.8
706575,0.2
706606,-2.5
706637,-0.7
706667,0.3
706698,1.1
706728,-0.4
706759,0.8
706790,-0.7
706818,1.3
706849,0.3
706879,-0.4
706910,-0.2
706940,0
706971,0.1
707002,0.6
707032,0.7
707063,0.2
707093,-0.6
707124,-0.3
707155,-0.1
707184,0
707215,0.5
707245,0.4
707276,-0.3
707306,0.3
707337,-1
707368,0.2
707398,-0.1
707429,-1.5
707459,-0.1
707490,1.1
707521,-0.8
707549,0.6
707580,0.1
707610,-0.1
707641,0.1
707671,-0.5
707702,0.1
707733,0.1
707763,-0.5
707794,-0.5
707824,0.6
707855,0.8
707886,0.4
707914,-0.5
707945,0.3
707975,1
708006,1.3
708036,1.8
708067,1
708098,0.9
708128,1.3
708159,0
708189,1.6
708220,2.1
708251,0.8
708279,1.1
708310,0.7
708340,-0.1
708371,-0.2
708401,0.8
708432,-0.3
708463,-1.1
708493,-1.7
708524,-1
708554,-1.2
708585,-0.1
708616,-0.8
708645,-1.3
708676,-0.7
708706,-1.2
708737,-1.7
708767,-1.6
708798,-1.9
708829,-2
708859,-1.9
708890,-0.9
708920,-2.6
708951,-1.4
708982,-2.2
709010,-1.4
709041,-0.9
709071,-0.6
709102,-1.2
709132,-2
709163,-2
709194,-0.9
709224,-2.2
709255,-1.1
709285,-1.2
709316,-1.8
709347,-0.7
709375,-0.8
709406,-0.4
709436,0.4
709467,0.5
709497,-0.2
709528,0.2
709559,0.9
709589,0.7
709620,-0.6
709650,1.6
709681,1.2
709712,1.2
709740,0.3
709771,1
709801,0.2
709832,-0.7
709862,0.2
709893,0.6
709924,0.5
709954,0.8
709985,0.2
710015,-1.2
710046,-1.2
710077,0.4
710106,0.5
710137,-0.4
710167,-0.1
710198,-0.4
710228,-0.9
710259,0.2
710290,0.3
710320,-1
710351,-0.8
710381,0.3
710412,0.6
710443,0.7
710471,1.4
710502,-0.5
710532,0
710563,0.5
710593,0.3
710624,1
710655,0.9
710685,0.1
710716,-0.5
710746,0.7
710777,-0.4
710808,0.4
710836,-0.4
710867,-0.7
710897,-0.9
710928,-0.9
710958,-1.1
710989,-0.6
711020,-1.8
711050,-1.4
711081,-0.3
711111,-0.9
711142,-0.7
711173,-0.8
711201,1.2
711232,-0.4
711262,-1.1
711293,0.1
711323,0.9
711354,0.5
711385,1.2
711415,-0.3
711446,0.7
711476,0.5
711507,-0.5
711538,-0.5
711567,-0.7
711598,0.2
711628,0.3
711659,-0.5
711689,0
711720,-0.6
711751,-0.9
711781,0.5
711812,0.2
711842,-0.9
711873,-1.1
711904,0.1
711932,0.5
711963,0.1
711993,-0.5
712024,-1
712054,-0.2
712085,-0.6
712116,0.2
712146,0.4
712177,-0.8
712207,0.7
712238,0.5
712269,2.1
712297,1.9
712328,1.2
712358,0.6
712389,2
712419,2
712450,1.1
712481,0.7
712511,1.6
712542,1
712572,2.7
712603,2.5
712634,1.5
712662,-0.2
712693,-0.5
712723,-1.1
712754,0.3
712784,-1.7
712815,-0.4
712846,-1.8
712876,-1.6
712907,-1.3
712937,-1.2
712968,-1.5
712999,-1
713028,0.9
713059,-0.4
713089,1.2
713120,1.2
713150,0.8
713181,0.1
713212,-0.4
713242,0.6
713273,0
713303,-2
713334,0.5
713365,-0.8
713393,-0.3
713424,0.3
713454,-2.8
713485,0.2
713515,0
713546,-2
713577,-2.1
713607,0.1
713638,-0.5
713668,-0.8
713699,1.1
713730,-0.5
713758,0.4
713789,1.1
713819,0.8
713850,0.2
713880,0.7
713911,1.8
713942,0.3
713972,0.4
714003,0.2
714033,2.3
714064,-0.9
714095,3.1
714123,1.1
714154,-0.2
714184,1.7
714215,2.2
714245,2.6
714276,2.4
714307,2.2
714337,2.5
714368,2
714398,1.6
714429,2.2
714460,2.7
714489,2.2
714520,1.5
714550,2.3
714581,1.8
714611,1.8
714642,2
714673,0.1
714703,2.9
714734,0.2
714764,1.8
714795,1
714826,-0.1
714854,0.3
714885,0.4
714915,-1.1
714946,0.3
714976,0.4
715007,-0.8
715038,-1.5
715068,0.1
715099,-1.6
715129,-0.5
715160,-3.1
715191,-0.8
715219,0.4
715250,0.6
715280,-0.8
715311,0.5
715341,0.7
715372,1.5
715403,-0.5
715433,0.1
715464,-0.7
715494,-1
715525,-1.5
715556,-2.3
715584,2.1
715615,0.7
715645,0.8
715676,-0.2
715706,-0.4
715737,-0.2
715768,0
715798,0.8
715829,1.5
715859,1.5
715890,0.2
715921,0.2
715950,1.7
715981,1.3
716011,0.9
716042,0.2
716072,0.8
716103,1.3
716134,1.1
716164,0.2
716195,0.9
716225,1.3
716256,-0.4
716287,1.5
716315,-3
716346,1.3
716376,0.5
716407,0.2
716437,0.4
716468,0.2
716499,0.1
716529,-0.5
716560,0.9
716590,2.5
716621,3.3
716652,-0.5
716680,0.2
716711,0.3
716741,1.8
716772,1.2
716802,0.1
716833,1
716864,0.7
716894,1.6
716925,0.5
716955,0.3
716986,1.7
717017,0.9
717045,1.9
717076,1.3
717106,0.6
717137,-0.8
717167,-0.2
717198,0
717229,-1
717259,-2
717290,-1.4
717320,-2
717351,-0.6
717382,0.1
717411,1.9
717442,1.8
717472,0.4
717503,1.2
717533,0.9
717564,2.5
717595,2.1
717625,2.2
717656,0.3
717686,-0.5
717717,-0.7
717748,0.7
717776,1.2
717807,-0.9
717837,0.3
717868,-0.9
717898,-3
717929,-1.1
717960,-2.2
717990,-1.5
718021,-2.4
718051,0.3
718082,-2.2
718113,-0.4
718141,-1.5
718172,-0.3
718202,-0.7
718233,0.5
718263,0.1
718294,1.1
718325,-0.4
718355,-0.2
718386,0
718416,-0.6
718447,2.8
718478,2.8
718506,2
718537,-0.1
718567,0
718598,1.1
718628,0.3
718659,1.2
718690,0.8
718720,0.1
718751,-0.7
718781,-0.9
718812,0.9
718843,2.1
718872,0.2
718903,0
718933,2.1
718964,1.8
718994,1.1
719025,0.4
719056,-0.4
719086,-0.1
719117,-0.6
719147,0.3
719178,-2.4
719209,-0.9
719237,0.7
719268,-0.6
719298,-0.4
719329,0.3
719359,-0.8
719390,-0.2
719421,-1.6
719451,-1.5
719482,-0.1
719512,0.7
719543,-1.9
719574,-1.7
719602,1
719633,-0.1
719663,0.6
719694,1.6
719724,-0.6
719755,1
719786,1.9
719816,1.7
719847,2.6
719877,3.2
719908,0.6
719939,3.3
719967,3.8
719998,2.8
720028,1.4
720059,0.7
720089,0.4
720120,2.5
720151,2.3
720181,2.8
720212,0.9
720242,0.4
720273,0.8
720304,1.8
720333,1.1
720364,-0.2
720394,-2.6
720425,-0.9
720455,-2.4
720486,-0.8
720517,-2.2
720547,-1.5
720578,-0.6
720608,-2.1
720639,-0.5
720670,-2.3
720698,1.2
720729,0.1
720759,0.7
720790,1.8
720820,1
720851,2.1
720882,2
720912,1.3
720943,4.3
720973,3
721004,4
721035,3.4
721063,4
721094,1.6
721124,1.6
721155,0.7
721185,1.9
721216,1.3
721247,1.8
721277,1.5
721308,-0.2
721338,0.3
721369,-0.8
721400,1.3
721428,2.6
721459,1.9
721489,1.1
721520,2.1
721550,3.1
721581,3.3
721612,3.4
721642,2.8
721673,1.9
721703,3.5
721734,2.3
721765,2.8
721794,2.9
721825,0.5
721855,0.6
721886,0.4
721916,-1.4
721947,-1.3
721978,-1.9
722008,0.7
722039,1.2
722069,-0.6
722100,-0.7
722131,2
722159,-0.9
722190,-0.7
722220,-0.8
722251,-1.5
722281,-1.9
722312,-1.3
722343,-1.3
722373,-1.7
722404,-2.1
722434,-1.7
722465,-0.5
722496,-4.4
722524,-0.3
722555,-0.5
722585,2.2
722616,1.1
722646,0.9
722677,0.7
722708,0.1
722738,-0.6
722769,0
722799,-0.1
722830,-0.7
722861,1.6
722889,0.2
722920,-0.2
722950,0.8
722981,1.1
723011,2.2
723042,-0.3
723073,0.2
723103,-0.2
723134,-0.7
723164,-1.2
723195,0.7
723226,0.5
723255,-0.7
723286,-1
723316,0
723347,0
723377,-0.1
723408,0.6
723439,-0.8
723469,0
723500,-0.6
723530,-0.1
723561,0.6
723592,-0.3
723620,-2.1
723651,-0.2
723681,1.3
723712,2
723742,1.4
723773,1.2
723804,0.5
723834,-0.6
723865,0.3
723895,0.8
723926,2
723957,0.4
723985,1
724016,0.1
724046,-0.6
724077,-1.7
724107,-2.5
724138,-2.9
724169,-2.9
724199,-2.8
724230,-4.3
724260,-3.7
724291,-5.8
724322,-6
724350,-4
724381,-1.5
724411,1
724442,0.1
724472,-1
724503,0.2
724534,1.4
724564,0.7
724595,-0.2
724625,0
724656,0.3
724687,1.4
724716,-0.4
724747,0.6
724777,0.3
724808,-0.6
724838,0.3
724869,0.7
724900,0.2
724930,-0.5
724961,0.4
724991,-0.2
725022,-0.5
725053,2
725081,1.3
725112,1.9
725142,0.7
725173,-0.6
725203,-0.2
725234,1.6
725265,0
725295,-0.6
725326,-0.3
725356,0.4
725387,1.6
725418,-1.7
725446,0.8
725477,0.5
725507,-0.4
725538,1.6
725568,0.5
725599,-0.6
725630,-0.8
725660,1.1
725691,-2
725721,-2.4
725752,-1.1
725783,-2.1
725811,-2.1
725842,-2.3
725872,-2.1
725903,-1.8
725933,-2.2
725964,-1.5
725995,-1.7
726025,-0.6
726056,0
726086,-0.8
726117,-0.2
726148,-0.6
726177,1.1
726208,0.2
726238,1.5
726269,0.1
726299,1.7
726330,2.5
726361,3
726391,2.3
726422,2.8
726452,2
726483,2.5
726514,2
726542,1.8
726573,2.7
726603,2
726634,1.2
726664,1.5
726695,-0.5
726726,0.8
726756,1.3
726787,-0.4
726817,-0.9
726848,-0.1
726879,-3
726907,-0.7
726938,0.3
726968,2
726999,0.5
727029,0.9
727060,-0.3
727091,-1.2
727121,0.4
727152,-0.8
727182,-0.4
727213,1
727244,0.4
727272,-1.1
727303,-1
727333,-1.7
727364,-0.2
727394,0
727425,-0.7
727456,-2.5
727486,-1.7
727517,-1.1
727547,-2.9
727578,-4.7
727609,-1.5
727638,-3.3
727669,-1.7
727699,0.4
727730,-1
727760,-1
727791,0.6
727822,0.1
727852,-2.3
727883,-1.1
727913,-0.9
727944,-1.5
727975,-1.2
728003,-0.8
728034,-1.9
728064,-0.6
728095,-1.4
728125,-1.3
728156,-1.6
728187,-1.2
728217,-1.8
728248,-0.1
728278,0.3
728309,-0.2
728340,0.4
728368,-1.1
728399,-2.1
728429,-1.1
728460,-0.7
728490,-2.2
728521,-2
728552,-2.6
728582,-1.9
728613,-0.9
728643,-2
728674,-0.7
728705,-0.2
728733,1.2
728764,-1.1
728794,-0.6
728825,0.2
728855,0.7
728886,0.5
728917,0.4
728947,0
728978,0.1
729008,-0.8
729039,1.6
729070,0.4
729099,1.9
729130,1.3
729160,0.5
729191,1.9
729221,1.1
729252,1.2
729283,1
729313,1
729344,-0.1
729374,1.5
729405,0.8
729436,2.9
729464,-0.7
729495,-1
729525,-2.2
729556,-2.3
729586,-1.2
729617,-2.4
729648,-2.4
729678,-2.4
729709,-2
729739,-1.6
729770,-4.4
729801,-3.4
729829,-4
729860,-2.4
729890,0.4
729921,1.6
729951,2
729982,1.9
730013,1.7
730043,1.8
730074,1.7
730104,2.3
730135,3
730166,1.6
730194,2.1
730225,2.3
730255,0.4
730286,0.4
730316,0.9
730347,0.6
730378,-0.1
730408,1.6
730439,1.7
730469,2.4
730500,1.1
730531,2.7
730560,2.2
730591,2
730621,0.6
730652,-0.3
730682,-0.3
730713,1.2
730744,1.4
730774,1.8
730805,3
730835,1.3
730866,1.6
730897,2.8
730925,1.5
730956,0.3
730986,-0.8
731017,0.5
731047,-0.3
731078,-0.7
731109,0.3
731139,-0.1
731170,1.1
731200,-1.4
731231,0.7
731262,1.8
731290,-0.4
731321,-0.1
731351,-1.4
731382,-0.4
731412,-0.8
731443,-1.6
731474,-1
731504,-0.6
731535,-0.7
731565,-1.8
731596,-0.3
731627,-1.1
731655,-0.5
731686,-0.2
731716,-0.5
731747,-1
731777,0.5
731808,0.2
731839,-0.2
731869,0
731900,-0.5
731930,1.8
731961,-2.2
731992,2
732021,0.7
732052,-1.5
732082,1.7
732113,-1.4
732143,-0.8
732174,-0.5
732205,-0.6
732235,-0.1
732266,-1.1
732296,-1.3
732327,0.6
732358,-5.2
732386,0.5
732417,-1
732447,-1.3
732478,0.7
732508,0.3
732539,-0.6
732570,0.6
732600,2
732631,-0.3
732661,0
732692,2.7
732723,0.2
732751,2.9
732782,1.8
732812,-0.8
732843,-0.4
732873,-1
732904,-1.7
732935,-1
732965,-2.1
732996,0.1
733026,-0.5
733057,-1.3
733088,-0.1
733116,0.3
733147,-0.2
733177,-0.2
733208,0.9
733238,-0.5
733269,0.7
733300,0.3
733330,1.2
733361,1.4
733391,2.7
733422,2.9
733453,4.4
733482,2.4
733513,1.1
733543,-0.1
733574,1
733604,0.5
733635,1.7
733666,2
733696,2.1
733727,2.2
733757,2.4
733788,1.8
733819,3.1
733847,0.7
733878,1.3
733908,-0.2
733939,0.2
733969,0.4
734000,-0.3
734031,0.5
734061,-2
734092,-1
734122,-1.2
734153,-1.8
734184,-2.4
734212,-1.1
734243,2
734273,1.5
734304,0.6
734334,3
734365,3
734396,3.7
734426,2.9
734457,2.1
734487,4.8
734518,3.8
734549,4.5
734577,4.2
734608,3.1
734638,0.6
734669,0.4
734699,1.6
734730,0.7
734761,1.7
734791,1.2
734822,1.8
734852,4.1
734883,1.8
734914,0.8
734943,1.2
734974,-0.4
735004,0.1
735035,-0.7
735065,-0.1
735096,-0.3
735127,0.4
735157,0.5
735188,0.4
735218,-1
735249,-0.1
735280,-0.4
735308,2.5
735339,0.4
735369,1.3
735400,2
735430,1.3
735461,0.3
735492,0.5
735522,-0.1
735553,1.2
735583,0.1
735614,2.4
735645,0.1
735673,-1.5
735704,1.3
735734,0.9
735765,0.3
735795,-0.3
735826,-1.2
735857,-1.2
735887,-1
735918,-1.5
735948,-0.9
735979,-1.4
736010,0.4
736038,-1.2
736069,-0.1
736099,-1.2
736130,-0.9
736160,-1.9
736191,-2.4
736222,-2.7
736252,-2.8
736283,-0.8
736313,NaN
