datenum,oni
725446,-0.3
725477,-0.2
725507,-0.1
725538,0
725568,0.2
725599,0.4
725630,0.7
725660,0.9
725691,1
725721,1.1
725752,1.1
725783,1.2
725811,1.1
725842,1
725872,0.9
725903,1.1
725933,1.4
725964,1.6
725995,1.6
726025,1.4
726056,1.2
726086,1.1
726117,0.8
726148,0.5
726177,0.1
726208,-0.3
726238,-0.8
726269,-1.2
726299,-1.2
726330,-1.1
726361,-1.2
726391,-1.4
726422,-1.7
726452,-1.8
726483,-1.6
726514,-1.4
726542,-1.1
726573,-0.9
726603,-0.6
726634,-0.4
726664,-0.3
726695,-0.3
726726,-0.3
726756,-0.3
726787,-0.2
726817,-0.1
726848,0.1
726879,0.2
726907,0.2
726938,0.2
726968,0.2
726999,0.3
727029,0.3
727060,0.3
727091,0.4
727121,0.3
727152,0.4
727182,0.4
727213,0.4
727244,0.3
727272,0.2
727303,0.2
727333,0.4
727364,0.6
727394,0.7
727425,0.7
727456,0.7
727486,0.8
727517,1.2
727547,1.4
727578,1.6
727609,1.5
727638,1.4
727669,1.2
727699,1
727730,0.8
727760,0.5
727791,0.2
727822,0
727852,-0.1
727883,-0.1
727913,0
727944,0.2
727975,0.3
728003,0.5
728034,0.7
728064,0.8
728095,0.6
728125,0.3
728156,0.2
728187,0.2
728217,0.2
728248,0.1
728278,0.1
728309,0.1
728340,0.1
728368,0.2
728399,0.3
728429,0.4
728460,0.4
728490,0.4
728521,0.4
728552,0.4
728582,0.6
728613,0.9
728643,1
728674,0.9
728705,0.7
728733,0.5
728764,0.3
728794,0.2
728825,0
728855,-0.2
728886,-0.5
728917,-0.7
728947,-0.9
728978,-1
729008,-0.9
729039,-0.9
729070,-0.7
729099,-0.6
729130,-0.4
729160,-0.2
729191,-0.2
729221,-0.2
729252,-0.3
729283,-0.3
729313,-0.4
729344,-0.4
729374,-0.5
729405,-0.5
729436,-0.4
729464,-0.2
729495,0.1
729525,0.6
729556,1
729586,1.4
729617,1.7
729648,2
729678,2.2
729709,2.3
729739,2.3
729770,2.1
729801,1.8
729829,1.4
729860,1
729890,0.5
729921,-0.1
729951,-0.7
729982,-1
730013,-1.2
730043,-1.2
730074,-1.3
730104,-1.4
730135,-1.4
730166,-1.2
730194,-1
730225,-0.9
730255,-0.9
730286,-1
730316,-1
730347,-1
730378,-1.1
730408,-1.2
730439,-1.4
730469,-1.6
730500,-1.6
730531,-1.4
730560,-1.1
730591,-0.9
730621,-0.7
730652,-0.7
730682,-0.6
730713,-0.5
730744,-0.6
730774,-0.7
730805,-0.8
730835,-0.8
730866,-0.7
730897,-0.6
730925,-0.5
730956,-0.3
730986,-0.2
731017,-0.1
731047,0
731078,-0.1
731109,-0.1
731139,-0.2
731170,-0.3
731200,-0.3
731231,-0.2
731262,-0.1
731290,0.1
731321,0.2
731351,0.4
731382,0.7
731412,0.8
731443,0.9
731474,1
731504,1.2
731535,1.3
731565,1.1
731596,0.9
731627,0.6
731655,0.4
731686,0
731716,-0.2
731747,-0.1
731777,0.1
731808,0.2
731839,0.3
731869,0.4
731900,0.4
731930,0.4
731961,0.3
731992,0.2
732021,0.1
732052,0.1
732082,0.2
732113,0.3
732143,0.5
732174,0.7
732205,0.7
732235,0.7
732266,0.7
732296,0.7
732327,0.6
732358,0.6
732386,0.5
732417,0.5
732447,0.4
732478,0.2
732508,0.1
732539,0
732570,0
732600,-0.1
732631,-0.4
732661,-0.7
732692,-0.7
732723,-0.6
732751,-0.4
732782,-0.2
732812,0
732843,0.1
732873,0.2
732904,0.3
732935,0.5
732965,0.8
732996,0.9
733026,1
733057,0.7
733088,0.3
733116,0
733147,-0.1
733177,-0.2
733208,-0.2
733238,-0.3
733269,-0.6
733300,-0.8
733330,-1.1
733361,-1.2
733391,-1.3
733422,-1.4
733453,-1.3
733482,-1.1
733513,-0.9
733543,-0.7
733574,-0.5
733604,-0.3
733635,-0.2
733666,-0.2
733696,-0.3
733727,-0.5
733757,-0.7
733788,-0.8
733819,-0.7
733847,-0.4
733878,-0.1
733908,0.2
733939,0.4
733969,0.5
734000,0.6
734031,0.7
734061,1
